text,topic
Hey everyone!  I'm Negi -Data Engineer at PayTM India. Woking on Superset from past 2 years.We use Superset and Druid to power realTime mobile and web analytics. We have also build some cool features in superset like Cohort analysis and Funnel. Looking forward to learn more and contribute.,2.0
,1.0
<@U01690HA6E8> has joined the channel,1.0
<@U014D0Q95K5> has joined the channel,1.0
<@U014E5PDQUX> has joined the channel,2.0
<@U01B4H1FQTS> has joined the channel,1.0
just click on <#CE1S22KK4|deployments>,1.0
"yes, we do have..",1.0
"Hiya, I'm working as a consultant for Tyrula based outside of Washington, DC. I'm currently looking into Superset for some projects we're working on.",1.0
"Hi all, I,m Hossein from Tehran,Iran. I am data engineer at Alopeyk company On-Demand motorbike ride.",1.0
<@U01880WS0EA> has joined the channel,2.0
Data shows in SQL lab but not in charts.,1.0
*Superset URL*\nUnder what configuration will I see the second URL?\n\n<http://0.0.0.0:8088/superset/dashboard/6/>\n\n<http://0.0.0.0:8088/superset/dashboard/6/?preselect_filters=%7B%2251%22%3A%20%7B%22subordinate_filter%22%3A%20%22%28Level%200%29%20Manager_Name%22%7D%7D>,1.0
*Filter Box Filter Control*\nHow do I enable the querying option for a filter box as shown in the image below.  Also for reference you can see my v0.36.0 of superset does not have it.,1.0
"Subject : Getting DataSource data in newly created Template Plugin.\n\nHi Team,\nWe created one new helloworld type of plugin given in the preset link\nand video - watch?v=f6up5x_iRbI\nUsing given procedure template is getting created successfully however data from a datasource say 'Birthnames' is not being reflected.\nGetting 500 internal server error.\n\nHere is the details of payload and endpoint.\n\ncustom plugin endpoint:\n&lt;p://18.236.185.234:8888/api/v1/chart/data|/api/v1/chart/data&gt;\ncustom plugin payload:\n{\n ""datasource"": {\n  ""id"": 100,\n  ""type"": ""table""\n },\n ""force"": false,\n ""queries"": [\n  {\n   ""extras"": {\n    ""where"": """"\n   },\n   ""granularity"": ""ds"",\n   ""groupby"": [\n    ""gender"",\n    ""state""\n   ],\n   ""is_timeseries"": false,\n   ""metrics"": [\n    {\n     ""label"": ""count""\n    }\n   ],\n   ""order_desc"": true,\n   ""orderby"": [],\n   ""row_limit"": 100,\n   ""time_range"": ""No filter"",\n   ""timeseries_limit"": 0,\n   ""timeseries_limit_metric"": null,\n   ""filters"": [],\n   ""having"": """",\n   ""having_filters"": [],\n   ""where"": """"\n  }\n ],\n ""result_format"": ""json"",\n ""result_type"": ""full""\n}\n\n\nPlease help to resolve the issue.\n\n\nThanks,\n\nRakesh Gupta",2.0
"Hello, I have a question regarding #flask session, when a user logout the session id is renewed on the browser, but you can still use the previous session id to make calls, is there a way to invalidate the previous session?",1.0
"Hi! Is there a way to enforce a label colour across a Superset instance? Ie the same logic as the Edit Metadata on a dashboard, but an easy way to apply across multiple dashboards. Some metrics occur in more than one, and we're looking to make sure they're always the same colour based on the label. I'm open to accessing the db directly if there is an easy way to do it through there. Any thoughts?",1.0
<@U018QR224KG> has joined the channel,1.0
,1.0
<@U010L66PJ6N> has joined the channel,1.0
,1.0
,2.0
,1.0
,1.0
<@UM4AW481K> has joined the channel,1.0
What should I do after my PR reviewed?\n<https://github.com/apache/incubator-superset/pull/9321>,1.0
actually the correct answer for this is already answered\n<https://github.com/apache/incubator-superset/blob/master/CONTRIBUTING.md#merging-db-migrations>,1.0
,1.0
"```gunicorn \\n      -w 10 \\n      -k gevent \\n      --timeout 120 \\n      -b  0.0.0.0:6666 \\n      --limit-request-line 0 \\n      --limit-request-field_size 0 \\n      --statsd-host localhost:8125 \\n      ""<http://superset.app:create_app()|superset.app:create_app()>""```\n",1.0
<@UHPRUFJE5> has joined the channel,2.0
"Is anyone familiar with this error:\n```Error in /incubator-superset/superset-frontend/src/components/ListView/Filters.tsx(149,11):\nTS2322: Type '(selected: SelectOption | null) =&gt; void' is not assignable to type '(value: ValueType&lt;GroupType&lt;GroupType&lt;never&gt;&gt;&gt;, action: ActionMeta&lt;GroupType&lt;GroupType&lt;never&gt;&gt;&gt;) =&gt; void'.\n  Types of parameters 'selected' and 'value' are incompatible.\n    Type 'ValueType&lt;GroupType&lt;GroupType&lt;never&gt;&gt;&gt;' is not assignable to type 'SelectOption | null'.\n      Type 'undefined' is not assignable to type 'SelectOption | null'.```\nI am getting this while running: `sudo npm run build`",1.0
"Hey folks! Evan here, working with Preset. I'm a frontend engineer, and designer. Designing and building data visualization is one of my happy places right there in the middle. I'm trying to make the experience and tooling of building data visualizations in Superset easier and more flexible, and helping to push the look and feel of Superset forward (by design and/or implementation). I'm excited to be a committer on this project, and if I can ever lend a hand on something, please reach out!",0.0
"Hola! I'm Brandon, my friends call me Bub, as in Bubba, because I'm from Texas, and that's a thing we do in Texas. I currently live in C\u00f3rdoba, Argentina, where I work as a developer in python and I also worked as a journalist for serveral years before becoming a programmer. Now I like to write for humans and machines! Best! :fire:",2.0
"Hello All! I am Eugenia, work at Preset leading the Customer Engagement team. <https://preset.io/|Preset> is a hosted version of Superset so I feel that I can help with anything related to how to use Superset, create charts, dashboards, queries, ideas of charts, workaround, etc, but no so much in Superset installation and configuration (Preset resolved that problem for me :relaxed: ).\nI love to help and chat so never hesitate to tag me if I can be useful. Before joining Preset I worked 10 years at Vertica, an analytics database, so I have a lot of experience related to data warehouse, queries tuning, writing complex queries, data pipes for the data warehouse, etc, so feel free to ask questions in that field too.",2.0
Hello all! I started the Superset project while at Airbnb in 2015 and have been working on it ever since. It's been an amazing ride and I'm really excited to see the community grow and the product development accelerate!,1.0
<@UH0UPCJVD> has joined the channel,1.0
"Hey all! I\u2019m Erik, a full stack engineer at Airbnb, and a PMC member for Superset. I\u2019ve been contributing to Superset for a little over a year now, and also build other analytics tools in my role at Airbnb. Feel free to reach out for code reviews or PR comments, especially if you\u2019re new to the developer community and looking for help with starter tasks!",1.0
"*Emit Filter Issue*\nSuperset version: 0.36\n\nEnabling it on the table does not seem work. The underlying json does not seem to capture `emit_filter:true` anywhere.\n\nJson:\n```{\n  ""adhoc_filters"": [],\n  ""align_pn"": false,\n  ""all_columns"": [\n    ""month""\n  ],\n  ""color_pn"": true,\n  ""datasource"": ""9__table"",\n  ""granularity_sqla"": null,\n  ""groupby"": [],\n  ""include_search"": false,\n  ""include_time"": false,\n  ""metrics"": [],\n  ""order_by_cols"": [],\n  ""order_desc"": true,\n  ""page_length"": 0,\n  ""percent_metrics"": [],\n  ""row_limit"": 100,\n  ""slice_id"": 166,\n  ""table_filter"": true,\n  ""table_timestamp_format"": ""%Y-%m-%d %H:%M:%S"",\n  ""time_grain_sqla"": null,\n  ""time_range"": ""Last week"",\n  ""time_range_endpoints"": [\n    ""inclusive"",\n    ""exclusive""\n  ],\n  ""timeseries_limit_metric"": null,\n  ""url_params"": {},\n  ""viz_type"": ""table""\n}```\n",2.0
,1.0
,2.0
,1.0
,1.0
,0.0
"Hi I'm Aaron, I work at Preset as a fullstack engineer. I've been working on enhancements to the viz plugin architecture, as well as Preset's Superset-as-a-service offering. Hoping to make Superset even more awesome, with ideas and feedback from the community.",1.0
<@U0134ERAH71> has joined the channel,1.0
"I just released this post on the Preset blog on connecting Superset to BigQuery. It\u2019s only part 1 but I\u2019ll be building towards a Superset dashboard using Python package download data that\u2019s hosted on Google Cloud for free as a public dataset!\n\n<https://preset.io/blog/2020-08-04-google-bigquery/>\n\nI\u2019d appreciate a share in your social networks if you found it interesting. If you work with or hope to work with BigQuery, leave a comment here on the type of tutorials you\u2019d like to see! :superset-loading:",1.0
Hello everyone.,2.0
Surfacing my previous work with table chart cross-filter to this group: <https://github.com/apache/incubator-superset/pull/9593>,2.0
"New to superset and this community. So asking here, don't know if its the right place. Is there a way to create notes directly in the dashboard? Imagine you have a table visualization in the dashboard, and you want to add notes to a particular row of this table, so it can be seen by the team.",1.0
"Hey, I'm Adam -- I'm an analyst at a SF-based startup. We introduced Superset into our ecosystem about a year ago. I have lots of opinions :joy:",1.0
"Hello I am using google oauth for the login part, i have seen that after logout the session(cookie) changes but the old one is not invalidated. is there a way to manage it?",1.0
<@U016T67V9CZ> has joined the channel,1.0
"ui and controls are as per my knowledge are not configurable this way, but there are some styling options using custom css templates",1.0
Doesn't look like it does...at least not anymore,1.0
"<@U019D20J9KK> hey Ryan, thanks for joining the channel, are you interested in participating in the filter redesign project?",1.0
"I understand that we use sqlalchemy in the background, so creating and editing a column directly in the dashboard should be possible. I am willing to do the development, if someone can help me get started.",1.0
My pleasure,2.0
Is it possible to have forms and include js script in superset,1.0
Can collab here,1.0
<@U0123T7NGFK> has joined the channel,2.0
Was this for the older non react views?,1.0
<@U01880WS0EA> has joined the channel,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@U0165S9FJCC> has joined the channel,1.0
<@U01AZSUR77W> has joined the channel,1.0
"Hi Everyone, I`m Sunny, explore Superset to used as a front-end for our organization. mostly using Hive to create dashboard and able to explore lot of things in terms of  data security in Superset.",2.0
<@U018H0JE06M> what of type of data would you like to pull?,1.0
,1.0
did you ran superset init ?,1.0
<@U016M4223HA> has joined the channel,0.0
We used docker container for superset and now we lost the container due to some issues. All charts inside are gone.,1.0
<@UKQ7FMSE4> has joined the channel,1.0
"cool, thanks for confirm.",2.0
,1.0
"*how to host superset successfully on aws instance because i tried using screen and nohup,superset was automatically killed without giving any log for error?*",2.0
,1.0
,2.0
<@U01880WS0EA> has joined the channel,1.0
cross-posting here as well since its relevant to this channel!\n\n<https://apache-superset.slack.com/archives/C7G8CG0LR/p1595945992053700>,2.0
"<@U015UGQGYVC> ECharts has some really nice 3d charts: <https://echarts.apache.org/examples/en/index.html#chart-type-surface>. are any of those good for your needs? We\u2019re currently in the final steps of introducing our first ECharts based charts into Superset, and I\u2019d be happy to help with implementing a cool 3d chart!",1.0
,1.0
"<@U010L66PJ6N> to give you an update, Preset and Airbnb met today, settled for a design solution for filter status indicator(phase 0). we will start the implementation(phase 0) this week. aiming later next week we can all meet again for kick off phase 1 and cross filtering design. let me know if you are interested to see the design.",1.0
<@U019D20J9KK> has joined the channel,1.0
,1.0
,1.0
<@UKQ7FMSE4> has joined the channel,2.0
,2.0
,2.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
Hello Superset community. I am Andrew. I work for a manufacturer and we're using superset to analyse our data from order entry through customer delivery. Superset is a perfect platform for our current needs and we look forward to diving deeper into it and start to integrate it further into our workflows.,2.0
*Filter Box Default Value*\nIs there a way in which I can sent the default value of a filter as:\n`SELECT manager_name from table where manager_name = '{{current_username()}}'`\n\nOr\nIs there a way in which I can reset the Filter of a chart in Explore mode when a dashboard filter is set.,1.0
Does anyone upgraded superset in HDP version and working?,1.0
Any tips on changing these gradient color with one you want ?,1.0
,2.0
"So, I have a graph like the attached that is doing SUM(hours) GROUP BY user. I would like another chart that just shows the percentage of users for whom SUM(hours) > target. Is there a way to do this?",1.0
,1.0
"Hey so after following the instructions on how to ""install superset""  on this post <https://preset.io/blog/2020-07-02-hello-world/> I encountered the below issue on localhost:9000. I did try to create an admin user myself through docker after I couldn't login using the admin/admin details. Any ideas what's going wrong?",2.0
"Can anyone Help me out how can i write query like below On superset\n""select sum (total) from course where course_id = ?  """,1.0
how about StackOverflow for questions!?,1.0
<@U014D0Q95K5> archived the channel,2.0
,1.0
"I guess, you can raise a ticket for this.",1.0
"<@UKQ7FMSE4> thanks for joining (or being joined :slightly_smiling_face: ... can't get Superset get connected to Hive, any idea?",1.0
,2.0
<@U7GN832GK> has joined the channel,1.0
,2.0
,1.0
,1.0
,1.0
,1.0
Hi all - just curious if anyone has thought to create a more native app like experience with Superset via Electron?\n\nThere are some great names one could use:\n\u2022 Valence\n\u2022 Bohr\n\u2022 Lepton\n\n:grin:,1.0
Hi guys! I got this error many time in `SQLab` . can anyone help me?\n\u200d\u200d\u200d\n```Data could not be retrieved. You may want to re-run the query.```,1.0
,1.0
,1.0
,1.0
,1.0
,1.0
Great! Thanks for the update. ,1.0
"Hi. My security team did scanning on Superset coz we want to publish it to public but got SQL injection issue.\nUsing the POST HTTP method, Nessus found that :\n\u00a0\n+ The following resources may be vulnerable to blind SQL injection :\n\u00a0\n+ The 'csrf_token' parameter of the /login/ CGI :\n\u00a0\n/login/ [username=&amp;password=&amp;csrf_token=IjRhN2EyOWUxNGZjODJhMDA2ODI5MDJh\nNzBjODk3Zjc3NWM0YTY5ZDMi.XaqJAg.3m8Jp_kQzWW9pDt4MM2JjktP5Vkzz&amp;password=&amp;\ncsrf_token=IjRhN2EyOWUxNGZjODJhMDA2ODI5MDJhNzBjODk3Zjc3NWM0YTY5ZDMi.XaqJ\nAg.3m8Jp_kQzWW9pDt4MM2JjktP5Vkyy]\n\u00a0\n-------- output --------\n\u00a0\n*Bad Request*\nThe CSRF tokens do not match.\n\u00a0\n\u00a0\n-------- vs --------\n\u00a0\n*Bad Request*\nThe CSRF token is invalid.\n------------------------",1.0
<!here> I will cut `0.37.0rc1` today unless someone knows of any serious blockers.,1.0
"Hi all, I am working as a data engineering tech lead at Roundforest, small startup from Israel, we currently don\u2019t use Superset in production but it catched my eye - but i am experimenting with it a little bit so I am here. Our data stack currently is mainly around Python/AWS/Databricks/Apache Spark/Databricks Delta/Redshift",2.0
<https://apache-superset.slack.com/archives/C7G8CG0LR/p1594263100488000>\n\nAnyone know if:\n\u2022 Superset has user-level access controls for charts?\n\u2022 Does Superset have column level restrictions for certain users?,1.0
"*Hi all,*\u00a0\n*Preset is planning to conduct a series of user interviews/surveys to collect user feedback on Superset global navigation.* (Global Navigation\u00a0Also called: main navigation, primary navigation, main nav. ) Global navigation represents the top-level pages of a site\u2019s structure\u2014or the pages below the home page. Optimized global navigation in Superset will support a variety of user tasks and modes of\u00a0information seeking, including known-item seeking, exploration, and even re-finding.\n\nThe goal of this User Interview is to understand better how users currently navigate and find content in Superset. At a high level, we want to understand what users are trying to accomplish, how they do this, and what could be improved.\n\n*We would like to work with voluntary users for a 20-30 minute session next week. Please let us know if you are interested. Thank you!! <#C0195GT7S1Y|user-interviews>*",1.0
"<@URQJZJKKK>,  I checked the issue tracker, was not able to find something like this",1.0
<@U0183Q35T40> has joined the channel,1.0
"It does work, did you do APPLY after selecting the 2 contries?",1.0
"I've added PyHive as requirement and rebuild as suggested in the blog, but it still doesn't work",1.0
"Anyone experienced this before, I upgraded to the latest version and now getting an error with google oauth. Previously users could sign in with google perfectly.",2.0
<@U01880WS0EA> has joined the channel,2.0
There are two charts on github:\n\u2022 <https://github.com/apache/incubator-superset/tree/master/helm/superset>\n\u2022 <https://github.com/helm/charts/tree/master/stable/superset>\nNot sure if they\u2019re the one you\u2019re asking for though,2.0
"on the second ERD? if yes, I'm still not happy with it, it could be something like a M-M relation to dashboards/charts/datasets like we've talked about",2.0
,2.0
,1.0
<https://www.youtube.com/watch?v=t-Ru2Gkrl54>,2.0
,1.0
"basically is the physical model expected to have a table called resource, or are you thinking we'd be linking to actual resource tables here?",1.0
<@U01693BV1QE> has joined the channel,1.0
"hi all. I'm chris from Portland, Oregon, US. Working in devops at Nike by day, geeking out on data visualizations by night on personal projects",1.0
<@U014Y38JL10> has joined the channel,1.0
Is there any tutorial to use this configurations in <http://deck.gl|deck.gl> map?,1.0
<@U014D0Q95K5> has joined the channel,2.0
"Hey :wave: <@U01877YKTPB> as a heads up, it can be hard to debug connection issues in Superset since there\u2019s many possible reasons!  Here\u2019s my checklist when I can\u2019t get a new data source connected:\n\n\u2022 Is the python connector / library actually installed? You\u2019ll want to open the shell within the right docker container (I don\u2019t have the name handy unfortunately), fire up a python shell and confirm you can import that library.\n\u2022 If the library imported fine, I\u2019d confirm that you can connect to your data store from the library itself. You\u2019ll probably need to pull up the docs / github page for that library to look up the connection insttuctions\n\u2022 Do the logs (either backend or frontend in the browser console) show anything useful for you? I run superset within docker in non-detached mode so I can get that full log dump right to my face when I run into issues!\nLet me know if any of these helped at all / when if you\u2019ve tried these :slightly_smiling_face:",1.0
"hi,\n\nI have to create interlinked visuals in my dashboard, like clicking on one slice of any visual whole dashboard should be updated accordingly. How to achieve this?",2.0
Srini thank you very much for this. I am sorry!,0.0
"Hi Team, Aswathi here, Is it possible to dynamically change the column headers in a table according to the filter selected?",2.0
"Hi Guys,\nI am running Superset in Docker on macOS locally.\nI'd like to connect to Apache Impala and MySQL on another host (development cluster).\n\nI have followed the instructions that were suggested here: <https://preset.io/blog/2020-05-18-install-db-drivers/>\nand installed `impyla` as well as `mysqlclient`. Also, I then rebuilt the Docker image, so it would recognize the changes.\nHowever, this did not bring any resolve.\n\nI keep getting error messages saying that SQLAlchemy does not know the dialect I am trying to use, even though it should have been installed...\n\nThis is style of URI I am using for Impala: `impala://{host}:21050/default`\nand for MySQL: `mysql://{user}:{pass}@{host}:3306/default`\n\nAny help would be much appreciated.",1.0
"hi guys I cannot login to superset using the default user 'admin' and password 'admin' , i am using the docker to start superset . I have found an issue on superset project on github, but not answer. Anyone can help?",2.0
,2.0
<@UK6FK7KN3> has joined the channel,1.0
<@U014D0Q95K5> archived the channel,1.0
<@U012N8RQC7L> has joined the channel,1.0
ok I see for the db drivers,1.0
,1.0
,1.0
"Hey Team, can anyone  suggest me which file has to be change for removing New and language button in the right most corner...",1.0
Our team is very new to Superset . Can anyone help me to find any link on how to configure two node cluster and do load balancing for superset configuration?,1.0
,1.0
,0.0
"Hi all, I tried to use Jinja to create a query template similar to this and publish it as sql lab datasource:\n```select \ncustomer_first_name \nfrom analytics.lead_names\nWHERE 1=1\n{% set f_name = filter_values('customer_first_name') %}\n {% if f_name %}\nand customer_first_name in ( {{ ""'"" + ""','"".join(f_name ) + ""'"" }} )\n{% endif %}```\nI created a chart that utilizes the above datasource and added it in a dashboard together with a Filter box.\nEven though the values from the Filter box are passed to the above template correctly, I noticed that the final query encapsulates the above query and adds an additional where clause, as shown below\nAm I doing something wrong or is there a way not to have an extra where clause on the final query?\n```SELECT\ncustomer_first_name AS customer_first_name \nFROM\n(\n  select\n    customer_first_name\n  from\n    analytics.lead_names\n  WHERE\n    1=1\n    and customer_first_name in ('Anastasia')\n)\nAS expr_qry\nWHERE customer_first_name IN ('Anastasia')\nLIMIT 1000```",1.0
"welcome! <@U014Q1D12Q6>\n\n\u2022 Do you mind doing an intro in <#C015WAR4SDV|introductions> and also adding your company / org name in your name / profile? :slightly_smiling_face: \n\u2022 For future reference, I recommend asking this type of question in <#C016B3LG5B4|dashboards> or posting on StackOverflow using the tag [apache-superset]. I\u2019ll re-ask your question in <#C016B3LG5B4|dashboards> this time!",1.0
"Hi all, is the `helm/superset`  chart on the github repo published anywhere?",2.0
Hi All I want to integrate superset with our current web app with jwt token. From what I saw we need to implement a CustomSecurityManager. Can someone guide me to what changes we need to do and perhaps an example.,1.0
even though our chart configuration screen looks like this:,1.0
we could provide another image that has all the Apache-compatible drivers layered on top of the image we have now,1.0
<@U014C43R77C> has joined the channel,1.0
"*Update the ab_user table of Superset SQLite*\n\nI currently maintain user information of my application system on a Postgres backend. I want to push this data to the SQLite `ab_user` table that Superset uses.\n\nWhat is the best way to do this?\n\nSomething like this will not work since SQLite does not support SHA.\n```INSERT INTO ab_user (id,first_name,last_name,username,password,active,email) SELECT (3,'kafka','user', 'kafka-user',SHA('test',256),1,'kafka-user@gmail');```\n",1.0
,1.0
,1.0
Rakesh Gupta,1.0
,1.0
,2.0
,0.0
,1.0
,1.0
Where can I get more info about the 2nd API?,1.0
,1.0
,1.0
,1.0
,1.0
,0.0
,1.0
<@U010L66PJ6N> has joined the channel,2.0
,1.0
,1.0
"*Required checkbox in filter configuration of a filter box*\nMy assumption/understanding is that when I select the the required option in a filter box, all charts in a dashboard will only populate after I have selected a value in this filter. But that does not seem to happen. So what is the function of this?",2.0
"Hello! I am looking to embed the time grain filter into my SQL Lab query, would anyone be able to advise how to do this via a Jinja template? This will allow us to aggregate based upon the time grain value selected within the query.",2.0
<@U016H6NUC9H> has joined the channel,1.0
Is there a way in which I can open a new report after clicking a slice of a pie chart?,1.0
"Hi,  I am trying to setup superset in ubuntu19.10 in a docker environment.  after successful build and server startup, i got below exception after login page. kindly advise.                  sqlalchemy.exc.ProgrammingError\nsqlalchemy.exc.ProgrammingError: (MySQLdb._exceptions.ProgrammingError) (1146, ""Table 'superset.user_attribute' doesn't exist"") [SQL: SELECT user_attribute.welcome_dashboard_id AS user_attribute_welcome_dashboard_id FROM user_attribute WHERE user_attribute.user_id = %s] [parameters: ('1',)] (Background on this error at: <http://sqlalche.me/e/f405>)",1.0
<@UF5F3T1QW> has joined the channel,1.0
"Hi everyone! I\u2019m Ville, living in Helsinki, Finland. I work for Preset and have been contributing to Superset for a few years, lately as a committer and PMC member. I\u2019ve done quite a bit of work on making sure Superset is compatible with as many databases as possible, and lately I\u2019ve been working on making it easier to add new visualizations to complement the existing ones. Beyond being hooked on Superset, I\u2019m passionate about OSS, and try to contribute to open source projects that I use whenever time permits.",1.0
<https://superset.incubator.apache.org/installation.html?highlight=cache#caching>,1.0
"```how to host superset successfully on aws instance because i tried using screen and nohup,superset was automatically killed without giving any log for error?```",1.0
,1.0
,1.0
,1.0
,1.0
,1.0
<@UHK31ESN4> has joined the channel,0.0
,1.0
,2.0
,2.0
,2.0
,2.0
,2.0
,1.0
,1.0
,1.0
"Hi, trying to connect apache-pinot to superset\ngetting the following error:",2.0
,1.0
<@U016G5DFQ77> has joined the channel,1.0
"\u2022 Preparations\n1. Complete (and sign off) tasks documented in the\u00a0<https://incubator.apache.org/guides/graduation.html#notes-status|status file>\n 2.  Ensure\u00a0<https://incubator.apache.org/guides/graduation.html#notes-names|suitable names>\u00a0for project name and product names\n 3.  Demonstrate ability to\u00a0<https://incubator.apache.org/guides/graduation.html#releases|create Apache releases>\n 4.  Demonstrate\u00a0<https://incubator.apache.org/guides/graduation.html#community|community readiness>\n 5. Ensure\u00a0<https://incubator.apache.org/incubation/Roles_and_Responsibilities.html#Mentor|Mentors>\u00a0and\u00a0<https://incubator.apache.org/incubation/Roles_and_Responsibilities.html#Incubator_Project_Management_Committee_IPMC|IPMC>\u00a0have no\u00a0<https://incubator.apache.org/guides/graduation.html#notes-issues|remaining issues>\n\u2022 Decide upon\u00a0<https://incubator.apache.org/guides/graduation.html#subproject-or-top-level|destination>\n\u2022 Prepare a\u00a0<https://incubator.apache.org/guides/graduation.html#tlp-resolution|resolution>\u00a0*(top level candidates only)*.\n\u2022 <https://incubator.apache.org/guides/graduation.html#subproject-acceptance|Subproject acceptance\u00a0>*<https://incubator.apache.org/guides/graduation.html#subproject-acceptance|VOTE>*\u00a0by destination Project\u00a0*(subproject candidates only)*\n\u2022 <https://incubator.apache.org/incubation/Roles_and_Responsibilities.html#Incubator_Project_Management_Committee_IPMC|Incubator PMC (IPMC)>:\n            For top level candidates, this is a\u00a0<https://incubator.apache.org/guides/graduation.html#ipmc-top-level-recommendation|recommendation\u00a0>*<https://incubator.apache.org/guides/graduation.html#ipmc-top-level-recommendation|VOTE>*\n            For subproject candidates, this is a\u00a0<https://incubator.apache.org/guides/graduation.html#subproject-graduation|graduation approval\u00a0>*<https://incubator.apache.org/guides/graduation.html#subproject-graduation|VOTE>*\n\u2022 Final\u00a0<https://incubator.apache.org/guides/graduation.html#notes-on-hand-over|hand-over>\n\u2022 Consider post graduation\u00a0<https://incubator.apache.org/guides/graduation.html#project-first-steps|tasks>\n",1.0
"Hey everyone, I finally install Superset using helmchart in our k8s cluster. Now looking at the example World bank data dashboard I am not able to filter multiple countries, is that expected behavior?",1.0
Has anyone tried cache refresh on version 0.36? Seems like cache is not refreshing through celery.,2.0
"Hi, when is the 0.37.0 release expected?",1.0
,1.0
"Hi everyone,the below mention pie chat to display the percentage values in out side,but the label is  show on success only and remaining labels are not shown.how to fix this?",1.0
<@UF5F3T1QW> thanks for volunteering!,1.0
<@U014D0Q95K5> thanks so much for getting back to me! will try...,1.0
THE PR <https://github.com/apache-superset/superset-ui/pull/720>,1.0
"i installed using pip ,python version 3.8,can anyone tell me whats the problem",2.0
"Hi Team, Aswathi here, Is it possible to dynamically change the column headers in a table chart according to the filter selected?",1.0
Hi all can anyone help me is there any new chart type available for time series visualisation?,1.0
"woah what a detailed, useful tutorial! thanks Evan and co!",1.0
"Hi Team,\n\nIs there any way to use any other open source map library instead of mapbox? I have read that we can create custom plugin using openstreetmap. Is this the only way, also if yes can you please provide me some reference to achieve that",2.0
